 NOUVEAU SUJET
0 10053
1 33939
2 44099
3 46552
4 51486
5 60433
6 72606
7 81886
8 96913
9 124114
10 130941
11 136181
12 141741
13 151661
 NOUVEAU SUJET
0 18191
1 25078
2 39146
3 44199
4 48452
5 55426
6 66666
7 76626
8 90587
9 116187
10 123054
11 130587
12 136841
13 146774
 NOUVEAU SUJET
0 10773
1 18743
2 28292
3 29904
4 33890
5 40690
6 51224
7 61064
8 77744
9 100759
10 107198
11 115359
12 120251
13 130119
 NOUVEAU SUJET
0 14862
1 22795
2 33249
3 35635
4 39996
5 47049
6 59289
7 69902
8 84743
9 102704
10 111903
11 116291
12 121584
13 132025
 NOUVEAU SUJET
0 17549
1 27043
2 37109
3 41537
4 47790
5 56777
6 71364
7 83244
8 101858
9 132205
10 141219
11 150472
12 158473
13 170419
 NOUVEAU SUJET
0 15005
1 21646
2 31326
3 34020
4 39340
5 46434
6 57554
7 69607
8 84848
9 107475
10 115195
11 119675
12 125301
13 135196
 NOUVEAU SUJET
0 13916
1 20957
2 30544
3 32197
4 36198
5 42691
6 54092
7 63945
8 77745
9 114986
10 121667
11 125226
12 130026
13 139946
 NOUVEAU SUJET
0 21049
1 28217
2 38215
3 39867
4 43909
5 52416
6 63416
7 73376
8 88816
9 112710
10 120351
11 124964
12 130071
13 139978
 NOUVEAU SUJET
0 18158
1 26914
2 38408
3 41036
4 45035
5 51756
6 63436
7 74715
8 94597
9 137704
10 150371
11 159331
12 165092
13 175065
 NOUVEAU SUJET
0 12988
1 18892
2 28492
3 30239
4 34785
5 41825
6 52653
7 63159
8 77306
9 94920
10 101360
11 104920
12 109601
13 119574
 NOUVEAU SUJET
0 10832
1 17878
2 28252
3 30171
4 36038
5 45919
6 62773
7 75266
8 91200
9 139654
10 147401
11 152255
12 158080
13 167988
 NOUVEAU SUJET
0 15652
1 22597
2 32223
3 33797
4 38650
5 45264
6 55771
7 64958
8 78771
9 100585
10 107092
11 112292
12 117386
13 127319
 NOUVEAU SUJET
0 16753
1 23120
2 32694
3 34241
4 38254
5 44934
6 55428
7 64628
8 78495
9 95949
10 102455
11 110683
12 116269
13 126175
 NOUVEAU SUJET
0 11193
1 21910
2 33363
3 35003
4 39709
5 46804
6 57417
7 68204
8 82565
9 109472
10 117499
11 121325
12 126060
13 136272
 NOUVEAU SUJET
0 13086
1 24942
2 36209
3 41275
4 46289
5 55356
6 68716
7 78210
8 93143
9 126197
10 135357
11 140171
12 146771
13 157092
 NOUVEAU SUJET
0 15774
1 24643
2 36363
3 39963
4 43950
5 50630
6 62191
7 73030
8 87391
9 139231
10 148485
11 152286
12 157006
13 166953
 NOUVEAU SUJET
0 14498
1 20852
2 31195
3 35402
4 40194
5 47170
6 58305
7 67945
8 82905
9 112653
10 120453
11 125906
12 131133
13 141040
 NOUVEAU SUJET
0 15723
1 91123
2 104310
3 111737
4 115697
5 123391
6 135071
7 148831
8 164469
9 188405
10 197139
11 202139
12 208193
13 219259
 NOUVEAU SUJET
0 13727
1 27345
2 38265
3 40411
4 44385
5 50892
6 61452
7 71399
8 85627
9 126720
10 133881
11 138614
12 144080
13 153962
 NOUVEAU SUJET
0 14232
1 21011
2 30755
3 32505
4 36480
5 43107
6 53733
7 64067
8 78228
9 105988
10 113095
11 116749
12 121575
13 131429
 NOUVEAU SUJET
0 14495
1 26070
2 35670
3 47204
4 52538
5 59925
6 70898
7 82325
8 97406
9 122219
10 129753
11 133459
12 138553
13 148486
 NOUVEAU SUJET
0 14976
1 21835
2 31437
3 33091
4 39918
5 47318
6 58185
7 67358
8 81572
9 105333
10 112519
11 116679
12 122519
13 132720
 NOUVEAU SUJET
0 13703
1 21837
2 32638
3 34798
4 38771
5 46238
6 57492
7 68252
8 82545
9 99959
10 106626
11 110226
12 115040
13 124986
 NOUVEAU SUJET
0 15486
1 23344
2 34784
3 37013
4 41134
5 48187
6 59441
7 70268
8 84454
9 107895
10 116882
11 120909
12 125828
13 135722
 NOUVEAU SUJET
0 16946
1 29024
2 40011
3 45784
4 51238
5 60865
6 72611
7 83491
8 98838
9 140773
10 150680
11 158067
12 163907
13 176027
 NOUVEAU SUJET
0 16958
1 26742
2 36356
3 39462
4 44222
5 51849
6 64543
7 80637
8 97424
9 121411
10 142691
11 146945
12 153452
13 163398
 NOUVEAU SUJET
0 12141
1 19619
2 29206
3 30765
4 39032
5 46592
6 57193
7 68966
8 83834
9 131568
10 147555
