3	256
0.617986	-1.18337	0.283597
-0.458411	-1.52184	0.630992
0.669673	-0.551151	0.020718
-0.620948	-0.669599	0.34055
0.716458	-0.663733	1.11584
-0.232809	-0.905806	1.52196
1.0598	0.0664308	1.5306
-0.4753	-0.16378	1.66435
0.194053	-0.340035	-0.01451
-0.391988	-0.458859	0.145479
0.200212	0.135951	-0.256277
-0.7663	-0.00750628	-0.018974
0.273938	-0.0887442	0.479081
-0.272629	-0.184734	0.660806
0.322383	0.4815	0.522353
-0.5416	0.386093	0.815569
-0.458411	-1.52184	0.630992
-1.85469	-1.9609	1.08163
-0.620948	-0.669599	0.34055
-1.6059	-0.759994	0.584633
-0.232809	-0.905806	1.52196
-1.42988	-1.21107	2.0341
-0.4753	-0.16378	1.66435
-1.60175	-0.332707	1.76249
-0.391988	-0.458859	0.145479
-1.06222	-0.594754	0.328454
-0.7663	-0.00750628	-0.018974
-1.97321	-0.186645	0.277352
-0.272629	-0.184734	0.660806
-0.892794	-0.29365	0.867002
-0.5416	0.386093	0.815569
-1.59817	0.269419	1.17414
0.669673	-0.551151	0.020718
-0.620948	-0.669599	0.34055
0.262605	0.261824	-0.179213
-0.42792	0.134633	0.0144836
1.0598	0.0664308	1.5306
-0.4753	-0.16378	1.66435
0.418105	0.627134	0.53506
-0.336869	0.460907	0.68568
0.200212	0.135951	-0.256277
-0.7663	-0.00750628	-0.018974
0.18138	1.58643	-0.957545
-1.30551	1.09415	-0.409849
0.322383	0.4815	0.522353
-0.5416	0.386093	0.815569
0.482709	2.36866	0.665556
-1.24574	2.04328	1.11322
-0.620948	-0.669599	0.34055
-1.6059	-0.759994	0.584633
-0.42792	0.134633	0.0144836
-1.02204	0.025201	0.181136
-0.4753	-0.16378	1.66435
-1.60175	-0.332707	1.76249
-0.336869	0.460907	0.68568
-0.979102	0.319503	0.813808
-0.7663	-0.00750628	-0.018974
-1.97321	-0.186645	0.277352
-1.30551	1.09415	-0.409849
-2.37552	0.739892	-0.0157108
